Product_ID,Category,Subcategory,Price,Brand,Average_Rating_of_Similar_Products,Product_Rating,Customer_Review_Sentiment_Score,Holiday,Season,Geographical_Location,Similar_Product_List,Probability_of_Recommendation,,
P2013,Fashion,Shoes,4724,Brand D,3.9,3.2,0.98,Yes,Summer,Canada,"['Jacket', 'Jacket']",0.14,,
P2014,Fitness,Resistance Bands,2861,Brand B,3.5,2.7,0.93,Yes,Autumn,USA,"['Dumbbells', 'Resistance Bands', 'Treadmill']",0.46,,
P2015,Books,Fiction,3954,Brand B,3.2,3.6,0.95,No,Winter,Germany,"['Fiction', 'Non-fiction', 'Comics']",0.74,,
P2016,Electronics,Headphones,3299,Brand D,3.9,3.1,0.07,Yes,Autumn,USA,"['Headphones', 'Smartphone', 'Smartwatch']",0.67,,
P2017,Home Decor,Curtains,3771,Brand A,3.8,3.9,0.39,No,Spring,Canada,"['Lamp', 'Wall Art', 'Lamp']",0.38,,
P2018,Home Decor,Cushions,3252,Brand C,3.3,5,0.77,Yes,Autumn,Germany,['Wall Art'],0.64,,
P2019,Books,Comics,878,Brand C,4.1,4.8,0.29,Yes,Winter,India,['Biography'],0.8,,
P2020,Fashion,Shoes,1549,Brand A,4.5,3.3,0.94,No,Summer,UK,"['T-shirt', 'Shoes']",0.84,,
P2021,Electronics,Headphones,3601,Brand B,3.8,4,0.13,Yes,Winter,UK,"['Smartphone', 'Laptop']",0.11,,
P2022,Books,Fiction,1935,Brand A,3.4,4.9,0.39,Yes,Autumn,USA,"['Comics', 'Biography', 'Comics']",0.69,,
P2023,Electronics,Headphones,2155,Brand D,4.6,2.4,0.04,Yes,Summer,UK,['Laptop'],0.58,,
P2024,Electronics,Smartphone,2827,Brand C,4.2,3.9,0.22,Yes,Spring,UK,"['Smartwatch', 'Smartphone', 'Smartphone']",0.52,,
P2025,Electronics,Smartphone,1750,Brand A,3.1,2.3,0.42,No,Summer,Germany,['Laptop'],0.63,,
P2026,Electronics,Smartwatch,4626,Brand D,4.8,4.7,0.62,No,Summer,USA,"['Headphones', 'Headphones']",0.78,,
P2027,Beauty,Moisturizer,1360,Brand A,3.6,3.8,0.66,Yes,Spring,Canada,"['Lipstick', 'Moisturizer', 'Moisturizer']",0.38,,
P2028,Books,Biography,1677,Brand B,2.3,2.3,0.45,No,Winter,Germany,['Non-fiction'],0.87,,
P2029,Fitness,Resistance Bands,3564,Brand D,3.9,2.7,0.52,No,Winter,Germany,"['Yoga Mat', 'Treadmill']",0.63,,
P2030,Beauty,Perfume,3156,Brand D,4.1,2.3,0.22,Yes,Spring,USA,"['Perfume', 'Lipstick']",0.11,,
P2031,Books,Non-fiction,1466,Brand A,2.3,2.6,0.35,Yes,Spring,Canada,"['Fiction', 'Fiction', 'Biography']",0.18,,
P2032,Books,Non-fiction,133,Brand D,2.1,4.5,0.62,No,Winter,Germany,"['Fiction', 'Biography', 'Comics']",0.15,,
P2033,Fitness,Dumbbells,1015,Brand D,2.9,3.5,0.06,No,Autumn,Germany,"['Resistance Bands', 'Dumbbells', 'Dumbbells']",0.61,,
P2034,Electronics,Laptop,3634,Brand A,2.3,2.9,0.77,Yes,Autumn,India,['Headphones'],0.2,,
P2035,Beauty,Moisturizer,2470,Brand D,3.5,3,0.87,No,Winter,Canada,"['Moisturizer', 'Lipstick', 'Perfume']",0.94,,
P2036,Fitness,Yoga Mat,2716,Brand B,2.9,4,0.28,Yes,Summer,India,"['Yoga Mat', 'Resistance Bands', 'Dumbbells']",0.42,,
P2037,Books,Biography,3287,Brand A,3.9,2.2,0.6,Yes,Summer,Canada,['Fiction'],0.62,,
P2038,Home Decor,Wall Art,1642,Brand A,2.1,4,0.46,No,Winter,UK,['Curtains'],0.96,,
P2039,Fashion,Jeans,4571,Brand B,4.8,3.2,0.4,Yes,Autumn,USA,"['Shoes', 'Jacket', 'Jeans']",0.49,,
P2040,Books,Non-fiction,3049,Brand D,3.6,2.8,0.8,Yes,Spring,USA,"['Fiction', 'Fiction']",0.43,,
P2041,Beauty,Foundation,4935,Brand D,4.9,4.7,0.48,Yes,Summer,India,"['Lipstick', 'Moisturizer', 'Foundation']",0.96,,
P2042,Books,Comics,2523,Brand B,4.5,3,0.13,No,Spring,USA,"['Fiction', 'Comics', 'Fiction']",0.19,,
P2043,Fashion,T-shirt,1287,Brand B,3.3,4.3,0.7,Yes,Winter,UK,"['Shoes', 'Jacket']",0.24,,
P2044,Fashion,Jeans,987,Brand C,2.9,3.6,0.3,Yes,Summer,India,['Shoes'],0.4,,
P2045,Books,Comics,3077,Brand A,2.1,5,0.46,No,Summer,Germany,"['Fiction', 'Non-fiction']",0.2,,
P2046,Beauty,Foundation,629,Brand A,3.9,4.9,0.14,Yes,Winter,Germany,['Moisturizer'],0.49,,
P2047,Electronics,Laptop,4619,Brand D,2.3,4.4,0.14,No,Autumn,India,"['Laptop', 'Laptop']",0.81,,
P2048,Home Decor,Lamp,3636,Brand A,2.7,3.5,0.67,No,Summer,USA,"['Curtains', 'Curtains', 'Lamp']",0.11,,
P2049,Fitness,Yoga Mat,2279,Brand D,4.3,4,0.11,Yes,Summer,Germany,"['Treadmill', 'Dumbbells']",0.68,,
P2050,Fitness,Dumbbells,815,Brand C,3.6,3.5,0.99,No,Spring,India,['Treadmill'],0.76,,
P2051,Books,Fiction,4811,Brand C,3.6,3.3,0.31,Yes,Winter,UK,['Non-fiction'],0.3,,
P2052,Electronics,Headphones,2727,Brand D,2.4,3.1,0.81,Yes,Spring,Germany,"['Laptop', 'Smartphone']",0.5,,
P2053,Fitness,Yoga Mat,3032,Brand B,2.2,4.7,0.12,No,Winter,USA,"['Treadmill', 'Treadmill']",0.67,,
P2054,Fashion,Jeans,4927,Brand D,3.9,2.5,0.17,No,Spring,Canada,['Jacket'],0.1,,
P2055,Home Decor,Wall Art,2341,Brand B,2.8,2.6,0.62,No,Spring,Germany,['Curtains'],0.67,,
P2056,Fitness,Yoga Mat,4369,Brand B,2.8,3.9,0.45,Yes,Summer,USA,"['Treadmill', 'Resistance Bands']",0.19,,
P2057,Beauty,Lipstick,4435,Brand B,2.7,3.8,0.8,No,Winter,Canada,['Moisturizer'],0.35,,
P2058,Electronics,Headphones,4099,Brand A,4.7,2.4,0.33,Yes,Spring,USA,"['Laptop', 'Smartphone']",0.42,,
P2059,Fashion,Jeans,4932,Brand B,4.3,4.2,0.79,No,Winter,UK,"['Shoes', 'Jacket', 'T-shirt']",0.99,,
P2060,Fashion,Shoes,2959,Brand D,2.6,4.3,0.32,No,Autumn,India,['Shoes'],0.71,,
P2061,Books,Fiction,2617,Brand A,4.7,4,0.35,No,Spring,India,"['Biography', 'Biography']",0.51,,
P2062,Fitness,Resistance Bands,441,Brand C,4.7,4.9,0.39,No,Autumn,Germany,"['Yoga Mat', 'Dumbbells']",0.13,,
P2063,Home Decor,Curtains,852,Brand B,3,2.9,0.42,Yes,Summer,USA,['Cushions'],0.56,,
P2064,Books,Fiction,3573,Brand C,3.6,4.5,0.36,No,Summer,Germany,"['Fiction', 'Non-fiction', 'Biography']",0.94,,
P2065,Home Decor,Curtains,3375,Brand D,4.2,2.4,0.18,Yes,Spring,India,"['Cushions', 'Cushions']",0.62,,
P2066,Books,Non-fiction,769,Brand B,2.6,2.4,0.35,No,Autumn,India,['Biography'],0.43,,
P2067,Beauty,Moisturizer,3415,Brand A,3.6,4.7,0.27,No,Spring,USA,"['Lipstick', 'Perfume']",0.17,,
P2068,Fitness,Yoga Mat,2112,Brand B,4,4.8,0.29,Yes,Summer,Germany,"['Dumbbells', 'Treadmill']",0.65,,
P2069,Home Decor,Curtains,2319,Brand D,3.8,2.5,0.99,No,Autumn,USA,"['Wall Art', 'Curtains']",0.64,,
P2070,Fitness,Resistance Bands,3078,Brand A,3.1,2.5,0.67,No,Autumn,India,"['Resistance Bands', 'Yoga Mat']",0.48,,
P2071,Home Decor,Cushions,2948,Brand A,4.3,2.9,0.08,No,Winter,Germany,['Cushions'],0.81,,
P2072,Beauty,Foundation,2332,Brand C,2.4,3.5,0.98,No,Winter,India,['Perfume'],0.71,,
P2073,Books,Non-fiction,3947,Brand D,3.6,3.3,0.44,No,Autumn,Germany,"['Biography', 'Biography', 'Biography']",0.15,,
P2074,Fashion,Jacket,1758,Brand A,2.7,2.3,0.84,Yes,Spring,UK,"['Jeans', 'Shoes']",0.33,,
P2075,Fitness,Resistance Bands,3737,Brand C,3.2,2.1,0.57,Yes,Summer,Germany,"['Treadmill', 'Dumbbells']",0.95,,
P2076,Electronics,Headphones,1268,Brand B,2.9,4.8,0.29,No,Summer,India,['Smartphone'],0.39,,
P2077,Beauty,Lipstick,4699,Brand A,2.6,3.7,0.9,No,Summer,Canada,"['Moisturizer', 'Foundation']",0.64,,
P2078,Home Decor,Curtains,3991,Brand C,4.7,4.5,0.36,Yes,Spring,Germany,"['Curtains', 'Lamp']",0.86,,
P2079,Books,Non-fiction,863,Brand C,3.7,2.9,0.59,Yes,Winter,Germany,"['Non-fiction', 'Fiction']",0.58,,
P2080,Books,Comics,1356,Brand B,3.8,3.9,0.38,Yes,Spring,UK,"['Fiction', 'Non-fiction', 'Fiction']",0.1,,
P2081,Books,Fiction,4909,Brand A,2.6,4.8,0.93,Yes,Spring,Canada,"['Fiction', 'Biography']",0.57,,
P2082,Beauty,Foundation,1755,Brand C,4.8,5,0.63,No,Spring,India,"['Perfume', 'Moisturizer', 'Perfume']",0.32,,
P2083,Fashion,Jacket,1099,Brand B,4.2,4.8,0.72,Yes,Summer,Canada,"['T-shirt', 'T-shirt']",0.57,,
P2084,Fashion,T-shirt,459,Brand C,2.1,3.2,0.81,No,Summer,Germany,['Jeans'],0.13,,
P2085,Beauty,Lipstick,2547,Brand B,4,3.9,0.33,No,Summer,India,['Perfume'],0.34,,
P2086,Books,Fiction,4601,Brand B,4.9,3.3,0.71,Yes,Autumn,Germany,"['Fiction', 'Fiction']",0.75,,
P2087,Books,Comics,4953,Brand C,4.2,3.2,0.97,Yes,Spring,India,['Non-fiction'],0.23,,
P2088,Fashion,Jeans,2201,Brand A,2.2,4.5,0.97,No,Winter,Canada,"['Jacket', 'Shoes']",0.85,,
P2089,Electronics,Laptop,3821,Brand A,2.5,2.1,0.36,Yes,Winter,Germany,"['Headphones', 'Smartwatch']",0.94,,
P2090,Beauty,Moisturizer,559,Brand A,2.8,3.5,0.23,No,Summer,Germany,['Lipstick'],0.5,,
P2091,Beauty,Foundation,188,Brand B,2,4,0.37,No,Summer,India,['Lipstick'],0.53,,
P2092,Fashion,T-shirt,2707,Brand C,2.4,2.4,1,Yes,Summer,Germany,['T-shirt'],0.32,,
P2093,Home Decor,Cushions,3112,Brand D,3.2,2.2,0.36,No,Autumn,UK,"['Wall Art', 'Lamp', 'Curtains']",0.52,,
P2094,Fitness,Resistance Bands,2516,Brand A,2.6,3.9,0.65,Yes,Summer,UK,"['Yoga Mat', 'Treadmill']",0.29,,
P2095,Beauty,Lipstick,2989,Brand D,3.8,3.1,0.71,No,Winter,Canada,"['Perfume', 'Moisturizer', 'Lipstick']",0.45,,
P2096,Electronics,Headphones,3335,Brand A,4.1,3.5,0.58,Yes,Spring,UK,['Smartwatch'],0.48,,
P2097,Fashion,T-shirt,1068,Brand D,4.5,4.2,0.4,No,Spring,India,"['Jeans', 'T-shirt']",0.65,,
P2098,Fitness,Resistance Bands,2643,Brand D,3.6,2.1,0.37,No,Summer,UK,"['Dumbbells', 'Resistance Bands', 'Resistance Bands']",0.51,,
P2099,Fashion,Jacket,1108,Brand A,5,2.9,0.5,No,Summer,Canada,"['T-shirt', 'Jeans', 'T-shirt']",0.11,,
P2100,Books,Fiction,679,Brand B,2.5,2.7,0.86,No,Summer,USA,['Non-fiction'],0.23,,
P2101,Books,Fiction,2228,Brand D,3.3,4.8,0.27,Yes,Spring,Germany,"['Comics', 'Biography']",0.4,,
P2102,Fitness,Resistance Bands,3452,Brand D,4.2,4.4,0.81,No,Winter,UK,"['Dumbbells', 'Treadmill', 'Resistance Bands']",0.77,,
P2103,Electronics,Laptop,4636,Brand A,4.2,3.6,0.49,Yes,Summer,USA,"['Smartwatch', 'Smartwatch', 'Headphones']",0.21,,
P2104,Books,Fiction,419,Brand B,4.7,2.1,0.21,No,Spring,Germany,"['Biography', 'Fiction', 'Non-fiction']",0.17,,
P2105,Electronics,Headphones,1145,Brand B,2.2,2.2,0.91,No,Autumn,USA,"['Smartwatch', 'Headphones']",0.56,,
P2106,Fitness,Treadmill,1272,Brand C,2.8,3.8,0.44,Yes,Winter,UK,"['Dumbbells', 'Treadmill', 'Treadmill']",0.17,,
P2107,Electronics,Headphones,1652,Brand A,2.2,3.8,0.55,No,Spring,Germany,['Laptop'],0.75,,
P2108,Beauty,Lipstick,2638,Brand C,4.2,4.2,0.89,No,Winter,Canada,['Lipstick'],0.55,,
P2109,Home Decor,Cushions,1653,Brand B,4.6,2.6,0.67,No,Autumn,India,['Cushions'],0.76,,
P2110,Electronics,Smartwatch,4142,Brand A,3.7,3.2,0.37,No,Spring,India,"['Headphones', 'Smartphone']",0.58,,
P2111,Fitness,Dumbbells,3469,Brand A,4.1,3.4,0.62,Yes,Autumn,USA,['Yoga Mat'],0.7,,
P2112,Fashion,Jacket,3950,Brand D,3,3.4,0.65,Yes,Autumn,UK,['Jacket'],0.59,,
P2113,Home Decor,Cushions,2758,Brand D,3.4,4.5,0.01,Yes,Spring,India,"['Curtains', 'Curtains']",0.8,,
P2114,Electronics,Smartwatch,1734,Brand C,4.4,3.2,0.89,No,Autumn,India,['Headphones'],0.13,,
P2115,Beauty,Moisturizer,1869,Brand D,4.7,4.9,0.39,No,Autumn,Germany,"['Lipstick', 'Moisturizer']",0.98,,
P2116,Books,Comics,1015,Brand D,5,4.6,0.84,Yes,Autumn,UK,"['Comics', 'Comics']",0.8,,
P2117,Fashion,T-shirt,2663,Brand A,4.6,4.6,0.87,Yes,Summer,India,"['Jeans', 'Jeans', 'Jacket']",0.84,,
P2118,Beauty,Lipstick,882,Brand D,2.4,3.8,0.98,No,Autumn,USA,['Moisturizer'],0.16,,
P2119,Books,Comics,749,Brand D,3.8,2.4,0.4,No,Summer,UK,"['Biography', 'Non-fiction', 'Fiction']",0.91,,
P2120,Home Decor,Cushions,860,Brand B,4.1,2.5,0.98,Yes,Summer,Germany,['Lamp'],0.85,,
P2121,Electronics,Laptop,4796,Brand D,3.9,4.9,0.74,No,Summer,USA,"['Headphones', 'Laptop']",0.36,,
P2122,Beauty,Foundation,2438,Brand A,4.8,4.4,0.36,Yes,Autumn,UK,"['Moisturizer', 'Foundation']",0.52,,
P2123,Books,Biography,4855,Brand D,4.8,2.6,0.19,Yes,Winter,UK,['Fiction'],0.91,,
P2124,Beauty,Perfume,2046,Brand C,3.3,2.1,0.4,Yes,Summer,UK,"['Moisturizer', 'Moisturizer', 'Moisturizer']",0.2,,
P2125,Books,Biography,228,Brand D,3.4,2.3,0.57,No,Summer,India,['Fiction'],0.48,,
P2126,Books,Non-fiction,123,Brand B,4.5,4.6,0.73,Yes,Winter,USA,['Fiction'],0.4,,
P2127,Beauty,Lipstick,4738,Brand B,3,3.6,0.9,No,Winter,UK,"['Foundation', 'Foundation']",0.27,,
P2128,Home Decor,Cushions,2891,Brand B,2.5,4.2,0.47,Yes,Summer,India,"['Curtains', 'Curtains']",0.76,,
P2129,Fashion,Jeans,624,Brand A,3.4,4.7,0.17,Yes,Winter,UK,"['Jeans', 'Shoes', 'Jacket']",0.74,,
P2130,Fitness,Dumbbells,615,Brand A,4.5,3.2,0.03,No,Winter,India,"['Dumbbells', 'Dumbbells']",0.83,,
P2131,Beauty,Moisturizer,1284,Brand A,3.1,4.1,0.19,Yes,Autumn,Canada,"['Perfume', 'Lipstick']",0.61,,
P2132,Books,Fiction,511,Brand D,2.9,2.9,0.96,Yes,Summer,USA,"['Fiction', 'Comics']",0.7,,
P2133,Electronics,Laptop,1948,Brand A,2.5,3.4,0.32,No,Winter,India,"['Smartwatch', 'Smartwatch']",0.11,,
P2134,Home Decor,Lamp,939,Brand A,4.2,4,0.06,No,Summer,Germany,"['Cushions', 'Wall Art']",0.76,,
P2135,Books,Biography,4497,Brand A,4.7,3.7,0.66,Yes,Autumn,Canada,"['Non-fiction', 'Non-fiction']",0.27,,
P2136,Fitness,Resistance Bands,3592,Brand C,3.4,4.7,0.24,Yes,Spring,Germany,"['Dumbbells', 'Treadmill', 'Yoga Mat']",0.8,,
P2137,Fashion,Shoes,1910,Brand A,4,3.8,0.28,No,Autumn,Canada,"['T-shirt', 'Jacket', 'Shoes']",0.88,,
P2138,Beauty,Perfume,1150,Brand C,3.1,2.9,0.11,No,Summer,Germany,"['Foundation', 'Moisturizer']",0.58,,
P2139,Beauty,Lipstick,432,Brand B,3.1,4,0.28,No,Spring,Germany,"['Moisturizer', 'Foundation']",0.33,,
P2140,Books,Non-fiction,505,Brand D,3.9,3.8,0.6,Yes,Summer,Germany,"['Comics', 'Non-fiction']",0.64,,
P2141,Fashion,Jeans,4784,Brand D,4.7,4.6,0.26,No,Winter,Canada,"['Shoes', 'Jacket']",0.21,,
P2142,Fitness,Dumbbells,1503,Brand C,2.8,4.1,0.64,No,Spring,UK,"['Treadmill', 'Resistance Bands']",0.69,,
P2143,Home Decor,Lamp,1312,Brand B,3.3,2,0.66,Yes,Spring,India,"['Lamp', 'Cushions', 'Lamp']",0.18,,
P2144,Electronics,Smartwatch,1303,Brand A,4.6,3.1,0.9,No,Spring,USA,"['Smartwatch', 'Headphones', 'Smartwatch']",0.7,,
P2145,Electronics,Laptop,883,Brand C,4.3,3.3,0.07,No,Autumn,Canada,"['Smartphone', 'Laptop']",0.18,,
P2146,Fashion,Shoes,978,Brand C,2.8,2.1,0.34,No,Spring,Germany,"['Shoes', 'Shoes', 'T-shirt']",0.71,,
P2147,Beauty,Perfume,2892,Brand A,3.4,2.9,0.16,No,Summer,Canada,"['Lipstick', 'Lipstick']",0.23,,
P2148,Home Decor,Lamp,2537,Brand D,3,2.2,0.56,Yes,Spring,USA,"['Lamp', 'Cushions']",0.82,,
P2149,Fitness,Yoga Mat,2521,Brand D,3.8,3.6,0.71,No,Summer,Germany,"['Treadmill', 'Dumbbells']",0.79,,
P2150,Books,Fiction,4635,Brand D,3.9,4.7,0.48,No,Autumn,India,"['Biography', 'Comics', 'Biography']",0.66,,
P2151,Electronics,Smartwatch,3105,Brand A,2.2,4.9,0.56,Yes,Summer,UK,['Laptop'],0.36,,
P2152,Electronics,Laptop,1658,Brand A,4,3.6,0.65,Yes,Winter,USA,"['Laptop', 'Smartphone']",0.3,,
P2153,Fitness,Yoga Mat,3356,Brand B,5,4.2,0.02,No,Spring,Germany,['Resistance Bands'],0.25,,
P2154,Fashion,Jeans,3321,Brand A,3.4,2.4,0.45,Yes,Summer,Germany,"['T-shirt', 'T-shirt']",0.89,,
P2155,Beauty,Foundation,130,Brand B,4,4.3,0.49,No,Spring,USA,"['Foundation', 'Moisturizer', 'Moisturizer']",0.45,,
P2156,Beauty,Moisturizer,3262,Brand C,4.1,4.2,0.89,No,Spring,Canada,['Lipstick'],0.52,,
P2157,Books,Non-fiction,3009,Brand B,4.8,4.8,0.48,Yes,Autumn,USA,"['Fiction', 'Non-fiction']",0.29,,
P2158,Beauty,Moisturizer,2601,Brand B,2.9,3.6,0.03,Yes,Summer,Canada,['Perfume'],0.43,,
P2159,Home Decor,Lamp,1402,Brand A,4.8,4.7,0.55,No,Summer,India,"['Curtains', 'Cushions', 'Wall Art']",0.42,,
P2160,Fashion,Jacket,3998,Brand C,3.9,2,0.65,No,Summer,Germany,"['Shoes', 'Jacket', 'Jacket']",0.42,,
P2161,Books,Non-fiction,162,Brand C,4.9,4.3,0.79,No,Winter,Canada,['Fiction'],0.68,,
P2162,Home Decor,Wall Art,4450,Brand D,3.5,2.5,0.12,Yes,Summer,UK,['Curtains'],0.63,,
P2163,Fitness,Yoga Mat,3206,Brand C,4.2,2.3,0.7,No,Spring,India,['Resistance Bands'],0.82,,
P2164,Books,Comics,276,Brand B,4.8,3.5,0.43,Yes,Autumn,Canada,"['Comics', 'Biography']",0.92,,
P2165,Beauty,Perfume,1891,Brand B,2.9,3,0.3,Yes,Spring,Canada,['Foundation'],0.94,,
P2166,Books,Fiction,2094,Brand B,3.6,3,0.13,No,Winter,Canada,"['Fiction', 'Non-fiction']",0.53,,
P2167,Home Decor,Cushions,3627,Brand D,4.5,3.2,0.8,No,Winter,UK,['Curtains'],0.5,,
P2168,Books,Fiction,1187,Brand D,4.5,3.1,0.32,Yes,Summer,India,"['Biography', 'Comics']",0.2,,
P2169,Fashion,T-shirt,590,Brand B,2.3,4.8,0.35,Yes,Autumn,USA,['Shoes'],0.77,,
P2170,Electronics,Laptop,411,Brand A,2.7,3.2,0.78,No,Summer,Canada,"['Smartphone', 'Laptop']",0.2,,
P2171,Fashion,Shoes,2789,Brand C,2.4,4.2,0.92,Yes,Winter,Germany,"['Jeans', 'Jacket', 'T-shirt']",0.83,,
P2172,Electronics,Laptop,1418,Brand D,2.2,2.5,0.14,No,Spring,India,['Smartphone'],0.13,,
P2173,Electronics,Smartphone,1137,Brand D,4.6,2.9,0.76,No,Winter,Canada,"['Headphones', 'Smartwatch']",0.4,,
P2174,Electronics,Smartphone,2549,Brand C,3.9,3.3,0.78,Yes,Summer,Canada,['Smartwatch'],0.64,,
P2175,Fitness,Dumbbells,1368,Brand B,3.1,4.3,0.77,No,Autumn,UK,"['Dumbbells', 'Yoga Mat', 'Treadmill']",0.97,,
P2176,Fitness,Treadmill,1743,Brand A,2.1,4.2,0.01,No,Spring,UK,['Treadmill'],0.68,,
P2177,Books,Comics,3456,Brand A,5,2.4,0.65,Yes,Winter,UK,['Comics'],0.54,,
P2178,Beauty,Moisturizer,3857,Brand C,4.9,2.5,0.19,No,Winter,Germany,['Perfume'],0.81,,
P2179,Books,Biography,3416,Brand A,4.5,2.5,0.11,Yes,Summer,UK,"['Fiction', 'Non-fiction']",0.95,,
P2180,Electronics,Smartphone,4439,Brand A,4.7,4,0.94,Yes,Summer,UK,"['Smartphone', 'Smartwatch', 'Headphones']",0.29,,
P2181,Fashion,T-shirt,4880,Brand D,4,3.1,0.96,Yes,Winter,India,['Jacket'],0.55,,
P2182,Books,Comics,3437,Brand A,2.7,4.1,0.68,No,Spring,USA,"['Comics', 'Fiction']",0.41,,
P2183,Fitness,Resistance Bands,3133,Brand A,3.9,4.2,0.77,Yes,Winter,Canada,"['Dumbbells', 'Treadmill', 'Resistance Bands']",0.26,,
P2184,Books,Comics,3429,Brand B,4.7,2.6,0.39,Yes,Spring,Germany,"['Fiction', 'Non-fiction']",0.64,,
P2185,Electronics,Headphones,4702,Brand B,2.2,3.4,0.86,Yes,Winter,Canada,['Smartphone'],0.31,,
P2186,Beauty,Moisturizer,2363,Brand A,3.6,3.7,0.07,Yes,Summer,India,['Moisturizer'],0.2,,
P2187,Beauty,Moisturizer,139,Brand C,3.8,4.1,0.36,Yes,Spring,Canada,"['Foundation', 'Moisturizer']",0.22,,
P2188,Home Decor,Cushions,3621,Brand C,2.6,2.9,0.07,Yes,Summer,UK,"['Curtains', 'Wall Art']",0.97,,
P2189,Fashion,T-shirt,4955,Brand A,2.6,2.2,0.22,No,Spring,UK,['Jeans'],0.83,,
P2190,Electronics,Headphones,3231,Brand C,4.8,4.1,0,No,Summer,India,['Smartphone'],0.18,,
P2191,Books,Fiction,4062,Brand C,3.1,4.1,0.02,No,Summer,Canada,"['Fiction', 'Non-fiction', 'Fiction']",0.73,,
P2192,Fashion,Jeans,3271,Brand A,3.3,2.7,0.38,Yes,Winter,USA,"['Jacket', 'T-shirt']",0.63,,
P2193,Home Decor,Wall Art,1513,Brand A,5,3.6,0.95,Yes,Spring,Germany,['Lamp'],0.37,,
P2194,Beauty,Perfume,338,Brand A,2,3.5,0.58,Yes,Autumn,USA,['Lipstick'],0.11,,
P2195,Fashion,Jacket,2357,Brand D,2.1,4.2,0.14,Yes,Autumn,Canada,"['Jeans', 'T-shirt']",0.5,,
P2196,Beauty,Moisturizer,1360,Brand D,3.6,3.4,0.89,Yes,Autumn,Germany,"['Lipstick', 'Lipstick']",0.51,,
P2197,Beauty,Perfume,4755,Brand C,4.2,2.3,0.99,Yes,Summer,USA,"['Lipstick', 'Foundation']",0.14,,
P2198,Books,Comics,2956,Brand D,4.2,4,0.76,Yes,Winter,India,['Biography'],0.82,,
P2199,Beauty,Lipstick,2548,Brand B,4,3.7,0.52,No,Spring,UK,"['Perfume', 'Foundation', 'Moisturizer']",0.72,,
P2200,Books,Biography,775,Brand C,3.8,3.2,0.12,Yes,Spring,USA,"['Biography', 'Comics', 'Comics']",0.6,,
P2201,Fashion,Shoes,1021,Brand C,3,2.9,0.44,Yes,Spring,UK,"['Shoes', 'Jacket', 'Jeans']",0.34,,
P2202,Beauty,Lipstick,444,Brand B,4.6,3.1,0.02,Yes,Autumn,India,['Foundation'],0.34,,
P2203,Books,Non-fiction,2493,Brand B,4.7,3.9,0.66,No,Autumn,Germany,"['Fiction', 'Biography', 'Fiction']",0.2,,
P2204,Fashion,Jacket,859,Brand C,2.2,2.7,0.5,No,Spring,Canada,['T-shirt'],0.71,,
P2205,Home Decor,Lamp,4160,Brand A,2.5,4.1,0.55,No,Winter,USA,"['Lamp', 'Cushions']",0.52,,
P2206,Electronics,Laptop,3514,Brand A,3.8,3.8,0.56,Yes,Spring,Canada,"['Smartphone', 'Headphones']",0.14,,
P2207,Books,Comics,3131,Brand D,2.6,4,0.52,No,Autumn,USA,"['Fiction', 'Biography']",0.96,,
P2208,Beauty,Foundation,4253,Brand B,2,2.3,0.9,No,Summer,USA,"['Perfume', 'Perfume', 'Moisturizer']",0.29,,
